tweet_count,username,text,created_at,retweets,likes
81,Sofreneja,"Contagem regressiva! No dia 27, Bauru recebe o Cê Tá Doido Festival com shows, energia e aquela vibe que já conquistou o Brasil 🔥 https://t.co/PYgQdwIynh",Fri Sep 19 23:56:05 +0000 2025,0,3,energia
82,José Luiz Dread,"Um motorista evitou que uma menina de 12 anos fosse vítima de estupro no bairro Vila Maria, em Bauru (SP). Wilian Ribeiro, que havia acabado de deixar seu filho na escola, percebeu a situação suspeita e decidiu intervir. O suspeito, 26 anos, foi preso. https://t.co/bDvIurK7KK",Thu Sep 04 12:04:42 +0000 2025,0,0,"estupro, moto, preso"
83,geradora infinita de lerolero by :3 Gabi,"Hj vou usar a mesma roupa que usei quando deixei o ramemes no busao de bauru pra sp pra ver se ele lembra de mim
Pq na época eu tava careca e agr eu tô com o cabelo grande https://t.co/ROyw4Eqh9g",Sat May 17 00:17:49 +0000 2025,0,30,upa
84,Portal Roma News,"Um ato de coragem salvou uma menina de 12 anos em Bauru, interior de São Paulo. Na segunda-feira (01), o empresário Willian Ribeiro, de 31 anos, reagiu ao perceber que um homem de 26 anos estava abordando a estudante com intenção de estupro. https://t.co/iRF7HuNGlU",Fri Sep 05 17:03:16 +0000 2025,0,5,estupro
85,pedim,@portal_volei @KTO_brasil sesi bauru e osasco na final da superliga MORTE AO PÃO DE QUEIJO https://t.co/DgvTuklctp,Tue Apr 22 03:04:24 +0000 2025,19,333,morte
86,Agência SP,"A partir desta sexta-feira (8), o @governosp leva para a região de Bauru o atendimento da Cabine Lilás, projeto da Polícia Militar voltado ao acolhimento de mulheres vítimas de violência doméstica. 

Acompanhe os detalhes.👇 https://t.co/M7jA3R9cbW",Fri Aug 08 21:10:54 +0000 2025,0,0,"polícia, violência"
87,carol ℗,28 reais o uber p rodoviaria nao to querendo acreditar que vai debitar este ROUBO nao vai se foder bauru,Wed Jun 18 21:37:12 +0000 2025,0,5,roubo
88,g1 Bauru,"🚨Idoso morre atropelado na faixa de pedestre no interior de SP
https://t.co/OAw69fIUTY #g1 #Marília https://t.co/1ZMIaGZ09Q",Sat Sep 13 17:07:13 +0000 2025,0,0,"morre, pedestre"
89,g1 Bauru,"🚨Dupla é presa com mais de meia tonelada de drogas em rodovia do interior de SP
https://t.co/v6DKsm6tY7 #g1 #SaltoGrande https://t.co/YNEfqNbbSE",Thu Sep 25 19:28:20 +0000 2025,0,0,"droga, presa"
90,g1 Bauru,"🦟'Dentracher'

Aplicativo desenvolvido na Fatec Botucatu ajuda a identificar pontos de proliferação da dengue https://t.co/ftZRSUTWLx #g1 #Botucatu https://t.co/qJEfyV70OZ",Sat Sep 27 13:20:40 +0000 2025,0,1,dengue
91,mayafu labussera,"é bom para o moral
é bom para o moral
é bom para o moral",Wed Oct 01 14:31:13 +0000 2025,0,1,Nenhum
92,lu,FINALMENTE ELE SAIU DAQUELE BURACO DE SESI BAURU   https://t.co/5lrqb34FTX,Wed Jul 09 11:48:21 +0000 2025,3,25,buraco
93,SAZEIRO,"HOJE TEM CRUZEIRO!

        ★
★            ★
         ★

        ★

UTILIDADE PÚBLICA:

SAMU: 192 📞
BOMBEIROS: 193 📞
POLÍCIA : 190 📞 https://t.co/AOHiRjUSPO",Thu May 01 12:33:44 +0000 2025,119,771,"bombeiro, polícia, samu"
94,Polícia Militar do Estado de São Paulo,"Homem é preso com arma de fogo após denúncia de violência doméstica em Bauru/SP
Confira: https://t.co/ili96b9AqZ https://t.co/0NBsLTZKEQ",Tue Sep 16 17:12:31 +0000 2025,0,8,"fogo, preso, violência"
95,g1,Moradores se unem para salvar jovens atingidas por árvore na saída de escola durante temporal em SP https://t.co/eGob6xHATm #g1 https://t.co/1ItIieCvrH,Tue Sep 23 18:18:34 +0000 2025,7,75,"temporal, árvore"
96,g1 Bauru,"🚨Suspeita confessou o crime 

Mulher é morta a facada durante briga em bar no interior de SP  https://t.co/DHhI6KFkdz #g1 #ParaguaçuPaulista https://t.co/yuZdPeO25z",Mon Sep 15 20:18:45 +0000 2025,0,0,"crime, morta, upa"
97,Christopher Luz,Pqp vou tocar num rolê LGBT em bauru e a rua do evento é RUA CUSSY JUNIOR KKKKKKKKKKKKKKK,Thu Sep 25 00:48:55 +0000 2025,3,47,Nenhum
98,🇧🇷 Daniel Marques Santos,"🔱🤡 ESTELIONATO ELEITORAL EM BAURU: Em 2020...como resolver a falta d'água...2024 estiagem pessoal, vamos orar...Incapacidade ou cara de pau? Qual a mentira/desculpa para 2025? Ambos! Esta é a BolSuelen 🤮 https://t.co/0IH4wzl6Th",Wed Sep 24 12:58:21 +0000 2025,2,5,água
99,g1 Bauru,"Motorista sofre mal súbito e bate ônibus contra semáforo em Bauru
https://t.co/U3lISmzR71

#g1 #Bauru https://t.co/4sYxg8qQCH",Sun Sep 07 21:20:54 +0000 2025,0,3,"moto, semáforo, ônibus"
